Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,per hour,per month,min_sal,max_sal,avg_sal,company_age,python,R,spark,machine_learning,AI,hadoop,sql,title,seniority,desc_len,sal_lac,sal_k
Data Science Internship,₹1L - ₹6L ,"We are providing six month training for data science.
After six months we will hire you directly through our company as a position Júnior Data Scientist.
Any Degree candidates can apply(Freshers).
Male and Female candidates can welcome.
Job Types: Full-time, Regular / Permanent, Internship, Fresher
Salary: ₹10,000.00 - ₹50,000.00 per month
Benefits:",-1.0,Oracuz Infotech Pvt Ltd Company,Thiruvananthapuram,-1,-1,-1,-1,-1,-1,0,0,1,6,3.5,-1,0,0,0,0,1,0,0,Data Scientist,na,357,1,0
Urgent Opening for DATA SCIENTIST ROLE,₹9L ,"Experience: Fresher
Location:Work from Home till the situation becomes conducive for travel. Work location eventually will be Ban
Salary:Offered CTC: INR 9,00,000 (9 Lakhs Annual CTC)
Qualification:*Only 2021 & 2022 Bachelor Graduates should Apply
Job Description :
Should have familiarity with Machine Learning Models and fundamentals in Forecasting and Optimization Techniques
Should have strong mathematical background & analytical bent of mind
Past experience of participating in Hackathons/Competition",-1.0,iTech Analytic Solutions,Remote,-1,-1,-1,-1,-1,-1,0,0,9,0,4.5,-1,0,0,0,1,0,0,0,Data Scientist,na,513,1,0
Data Scientist,₹5L - ₹20L ,"Data Scientist
We are seeking a Data Scientist to join our growing Analytics & Reporting team with strong hands-on analytical skills who can leverage disparate datasets, ensure data integrity and quality, create innovative solutions, and provide actionable insights to improve quality, service and customer outcomes. The ideal candidate will have experience with database technologies, operational analytics, working knowledge of Artificial Intelligence/Machine Learning (AI/ML) techniques. You will use statistical creativity and intellectual curiosity to create some of the most impressive statistical analyses that will propel our clients to the next level.
Responsibilities
· Be a collaborative member of a group that translates business questions into practical results and actionable insights.
· Analyze complex data sets, develop standardized processes, and support various ad-hoc analytic requests like KPI reporting, customer profiling, campaign response analysis, and advanced analytic modeling.",-1.0,Bridgetree Research Services Pvt. Ltd.,Bangalore,-1,-1,-1,-1,-1,-1,0,0,5,20,12.5,-1,0,0,0,1,1,0,0,Data Scientist,na,1009,1,0
Data Scientist,₹30L - ₹45L ,"Job Description
Roles and Responsibilities
Jubilant FoodWorks is amidst transformation & expansion which will fuel the next level of growth and this creates both challenges and opportunities. While JFL is the largest QSR in the sub-continent, it is set to double in scale & size with a vision towards becoming a 2000+ Restaurant with Multi Business, Multi Product, Multi Country Operations.

Analytics & Insights function:
Our vision is to build Analytics & insight function a strategic differentiator for the company.",4.0,Jubilant FoodWorks,Noida,10000+ Employees,1995,Company - Public,Fast-Food & Quick-Service Restaurant,"Restaurants, Bars & Food Service",Unknown / Non-Applicable,0,0,30,45,37.5,27,0,0,0,0,0,0,0,Data Scientist,na,523,1,0
Geoinformatics Data Scientist & Programmer (Ref. No. 2161),₹12L - ₹23L ,"Join CIFOR and make a difference!
Geoinformatics Data Scientist & Programmer (Ref. No. 2161)
Trees Outside Forest in India (TOFI)

The Center for International Forestry Research (CIFOR) and World Agroforestry (ICRAF) envision a
more equitable world where forestry and landscapes enhance the environment and well-being for all.
CIFOR-ICRAF are non-profit, scientific institutions that conduct research on the most pressing
challenges of forest and landscape management around the world. Using a global, multidisciplinary
approach, we aim to improve human well-being, protect the environment, and increase equity. Our
work focuses on innovative research, developing partners’ capacity, and actively engaging in dialogue
with all stakeholders to inform policies and practices that affect forests and people. Our work spans
the globe, with expertise in the ‘global South’. Founded in 1993 and 1978 respectively, CIFOR-ICRAF
are members of CGIAR, a global research partnership for a food secure future dedicated to reducing
poverty, enhancing food and nutrition security, and improving natural resources.













allowance, leave travel allowance, children education allowance,
etc
are entitled for in-patient medical health insurance policy; and for
outpatient medical care (equivalent to one month salary plus fixed
dearness allowance) for a calendar year",3.8,World Agroforestry Centre,New Delhi,201 to 500 Employees,-1,Unknown / Non-Applicable,-1,-1,-1,0,0,12,23,17.5,-1,0,0,0,0,1,0,0,Data Scientist,na,1388,1,0
Data Scientist,₹8L - ₹10L ,"Position Summary
Job Title— Data Scientist in Controllership Services—Deloitte Advisory
Deloitte & Touche’s Controllership market offering helps CFOs, CCOs, controllers, and business unit finance leaders reduce financial reporting risk resulting from changes in statutory reporting requirements, market volatility, and corporate actions or events; increase the financial integrity and transparency of cost allocations; enhance the efficiency of the “last mile of finance;” transform the finance function; and enhance the value that finance delivers to their business.
Work you will do",3.9,Deloitte,Bangalore,10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD),0,0,8,10,9.0,172,0,0,0,0,0,0,0,Data Scientist,na,587,1,0
Data Scientist,₹25L ,"Multiple development and support Data Science Projects
Multi Domain Data Scientist with 6months of Core Data Science experience, mostly in Machine Learning (Regression, Classification and time series models).
Person must be very strong on various type of ML models (How to select right model, expertise on various stages of model development and ability to put model in production
Desirable: Exp in Deep learning (NLP, NER, Computer Vision techniques).
Machine learning
Deep learning
R, Python
Job Types: Full-time, Regular / Permanent",4.0,Evoke Technologies,Hyderābād,501 to 1000 Employees,2003,Company - Private,IT Service,Information Technology,$25 to $50 million (USD),0,0,25,0,12.5,19,1,0,0,1,1,0,0,Data Scientist,na,542,1,0
Data Scientist - QuantumBlack,₹4L - ₹9L ,"Who You'll Work With
As a data scientist at QuantumBlack, you will work with other data scientists, data engineers, machine learning engineers, designers and project managers on interdisciplinary projects using mathematics, statistics and machine learning to derive structure and knowledge from raw data across various industry sectors.
In this role, you’ll be aligned to one of our practices, Pharma & Medical Products (PMP) or Global Energy & Materials (GEM), to work on similar industry clients.
Our Pharma & Medical Products practice focuses on helping clients bring life-saving medicines and medical treatments to patients. You will work with the advanced analytics team across research & development (R&D), operations and commercial to build and scale digital and analytical approaches. This practice is one of the fastest growing practices and is comprised of a tight-knit community of consultants, research, solution, data and practice operations colleagues across the firm. PMP is also one of the most globally connected sector practices, offering ample global exposure.",4.4,McKinsey & Company,Gurgaon,10000+ Employees,1926,Company - Private,Consulting,Business Service,Unknown / Non-Applicable,0,0,4,9,6.5,96,0,0,0,1,0,0,0,Data Scientist,na,1082,1,0
GET (Graduate Engineer Trainee) - Data Science,₹3L - ₹4L ,"Role: BI Developer
Requirements: We are looking for bright, young engineers with good mathematics skills and an interest in data analytics/science.
We will provide necessary training in Data analytics technologies to selected candidates.
Experience: 0 to 3 years
Knowledge of the following will be advantageous:
1. SQL Query writing
2. MS Power BI
3. Python/R for data science",-1.0,RBHU ETG Private Limited,Navi Mumbai,1 to 50 Employees,-1,Unknown / Non-Applicable,-1,-1,-1,0,0,3,4,3.5,-1,1,0,0,0,1,0,1,Data Scientist,na,383,1,0
Lead Data Scientist-New Frontiers,₹7L - ₹10L ,"Role/Job Title: Lead - Data Science

Business: Data & Analytics

Function/Department: Data & Analytics

Place of Work: Mumbai

Job Purpose:
'The Lead - Data Science role

Establishes and drives modelling tools and techniques
Leads the team in identifying opportunies for adding business value

'- Understands business problems and solving them with analytical techniques

Managerial & Leadership Responsibilities

'- Develops individual talent by providing ongoing feedback and creating individual development plans to enable people to reach their full potential


'- Creation of modelling frameworks",3.6,IDFC FIRST Bank,Mumbai,10000+ Employees,2018,Company - Public,Banks & Building Society,Finance,Unknown / Non-Applicable,0,0,7,10,8.5,4,0,0,0,0,1,0,0,Data Scientist,na,621,1,0
