Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Science Advisor,-1,"Data Science Advisor
We are looking for a Data Scientist to join us in Performance Analytics Group to drive development, scaling and execution of ML/AI models for Run The Business processes WW.
Data Science is all about breaking new ground to enable businesses to answer their most urgent questions. Pioneering massively parallel data-intensive analytic processing, our mission is to develop a whole new approach to generating meaning and value from petabyte-scale data sets and shape brand new methodologies, tools, statistical methods and models. What’s more, we are in collaboration with leading academics, industry experts and highly skilled engineers to equip our customers to generate sophisticated new insights from the biggest of big data.
Join us as an Advisor on our Data Science team in Remote- India to do the best work of your career and make a profound social impact.",4.3,Dell Technologies,"India
13d",10000+ Employees,1984,Company - Public,IT Service,Information Technology,$10+ billion (USD)
Data Science Internship,₹1L - ₹6L (Employer Est.),"We are providing six month training for data science.
After six months we will hire you directly through our company as a position Júnior Data Scientist.
Any Degree candidates can apply(Freshers).
Male and Female candidates can welcome.
Job Types: Full-time, Regular / Permanent, Internship, Fresher
Salary: ₹10,000.00 - ₹50,000.00 per month
Benefits:",-1,Oracuz Infotech Pvt Ltd Company,Thiruvananthapuram,-1,-1,-1,-1,-1,-1
Urgent Opening for DATA SCIENTIST ROLE,₹9L (Employer Est.),"Experience: Fresher
Location:Work from Home till the situation becomes conducive for travel. Work location eventually will be Ban
Salary:Offered CTC: INR 9,00,000 (9 Lakhs Annual CTC)
Qualification:*Only 2021 & 2022 Bachelor Graduates should Apply
Job Description :
Should have familiarity with Machine Learning Models and fundamentals in Forecasting and Optimization Techniques
Should have strong mathematical background & analytical bent of mind
Past experience of participating in Hackathons/Competition",-1,iTech Analytic Solutions,Remote,-1,-1,-1,-1,-1,-1
Data Scientist,-1,"Smart Infrastructure Division in Siemens Ltd. is one of the leading global suppliers of products, systems, solutions, and services for the efficient, reliable, and intelligent transmission and distribution of electrical power. As the trusted partner for the development and extension of an efficient and reliable power infrastructure that industry and the portfolio they need.

This includes facilities and systems for the low-voltage and distribution power grid level, smart grid and energy automation solutions, power supply for industrial plants, and high-voltage transmission systems.

We make real what matters. This is your role...

You have an experience in Spark, Hadoop, HBase, SCALA, NoSQL, Java, Big Data, Solr, Python, Machine Learning, information retrieval.",4.1,Siemens Limited,"Goa
22d",5001 to 10000 Employees,2004,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Data Scientist,-1,"Clariant is a focused and innovative specialty chemical company based near Basel in Switzerland. Last year the company recorded CHF 6.6 billion in sales harnessing the talents of its 18 000 employees across 53 countries.
Clariant’s portfolio is optimized for future growth, with a focus in four business areas: Care Chemicals, Catalysts, Natural Resources, and Plastics & Coatings.
We believe that our growth is all about our customers and their success. Investment in innovation capabilities and developing inspiring environments for courageous and determined minds are therefore key to reaching our goal.
Join us and help create sustainable value through chemistry for customers all over the globe.",3.8,Clariant,"India
30d+",10000+ Employees,1995,Company - Public,Chemical Manufacturing,Manufacturing,$5 to $10 billion (USD)
Data Scientist,₹5L - ₹20L (Employer Est.),"Data Scientist
We are seeking a Data Scientist to join our growing Analytics & Reporting team with strong hands-on analytical skills who can leverage disparate datasets, ensure data integrity and quality, create innovative solutions, and provide actionable insights to improve quality, service and customer outcomes. The ideal candidate will have experience with database technologies, operational analytics, working knowledge of Artificial Intelligence/Machine Learning (AI/ML) techniques. You will use statistical creativity and intellectual curiosity to create some of the most impressive statistical analyses that will propel our clients to the next level.
Responsibilities
· Be a collaborative member of a group that translates business questions into practical results and actionable insights.
· Analyze complex data sets, develop standardized processes, and support various ad-hoc analytic requests like KPI reporting, customer profiling, campaign response analysis, and advanced analytic modeling.",-1,Bridgetree Research Services Pvt. Ltd.,Bangalore,-1,-1,-1,-1,-1,-1
USI-EH22-EA-CMG-Tech CoE- Data Scientist-A,-1,"Position Summary

Deloitte US Client and Market Growth – Technology CoE - Analyst (Data scientist)
About Deloitte US Client and Market Growth organization
U.S. India, Client and Market Growth organizations (CMG) drive the marketing programs, initiatives, and priority client-facing programs in the U.S. regions. India CMG is focused on quality and operational excellence and is constantly challenging and refining its business model to ensure proper support of marketing processes, services, and deliverables in the United States. Mission of CMG is to support, augment, and complement marketing efforts of Deloitte through the development of marketing and business development materials and services.",3.9,Deloitte,"Gurgaon
10d",10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
Data Scientist,₹30L - ₹45L (Employer Est.),"Job Description
Roles and Responsibilities
Jubilant FoodWorks is amidst transformation & expansion which will fuel the next level of growth and this creates both challenges and opportunities. While JFL is the largest QSR in the sub-continent, it is set to double in scale & size with a vision towards becoming a 2000+ Restaurant with Multi Business, Multi Product, Multi Country Operations.

Analytics & Insights function:
Our vision is to build Analytics & insight function a strategic differentiator for the company.",4.0,Jubilant FoodWorks,Noida,10000+ Employees,1995,Company - Public,Fast-Food & Quick-Service Restaurant,"Restaurants, Bars & Food Service",Unknown / Non-Applicable
Geoinformatics Data Scientist & Programmer (Ref. No. 2161),₹12L - ₹23L (Employer Est.),"Join CIFOR and make a difference!
Geoinformatics Data Scientist & Programmer (Ref. No. 2161)
Trees Outside Forest in India (TOFI)

The Center for International Forestry Research (CIFOR) and World Agroforestry (ICRAF) envision a
more equitable world where forestry and landscapes enhance the environment and well-being for all.
CIFOR-ICRAF are non-profit, scientific institutions that conduct research on the most pressing
challenges of forest and landscape management around the world. Using a global, multidisciplinary
approach, we aim to improve human well-being, protect the environment, and increase equity. Our
work focuses on innovative research, developing partners’ capacity, and actively engaging in dialogue
with all stakeholders to inform policies and practices that affect forests and people. Our work spans
the globe, with expertise in the ‘global South’. Founded in 1993 and 1978 respectively, CIFOR-ICRAF
are members of CGIAR, a global research partnership for a food secure future dedicated to reducing
poverty, enhancing food and nutrition security, and improving natural resources.













allowance, leave travel allowance, children education allowance,
etc
are entitled for in-patient medical health insurance policy; and for
outpatient medical care (equivalent to one month salary plus fixed
dearness allowance) for a calendar year",3.8,World Agroforestry Centre,New Delhi,201 to 500 Employees,Self-employed,Unknown / Non-Applicable,-1,-1,-1
Data Scientist / Decision Scientist,-1,"Job Role & Responsibilities

Role:
Data Scientist Responsibilities:  Architect a data based solution for the business problem presented. Develop contextual automotive domain knowledge around the problem. Collaborate with the domain knowledge expert if required.

 Understand the IoT device (Telematics Control Unit) of the vehicle. Develop understanding of Time-Series Data originating from TCU.

 Understand the data landscape, establish the data adequacy beforehand

 Clean up and Prepare datasets for modeling, get involved in ETL process if required. Apply data transformation techniques such as resampling, filtering, encoding etc.

 Exploratory data and get insights. Present the descriptive stats and insights to the domain experts. Find meaningful patterns in data, detect seasonality and trend, establish cause and effect relationships in data. Develop & Test hypothesis in collaboration with the domain experts.

 Design features, shortlist features, study feature importance, decide the ML strategy  Data modelling, selection of an appropriate machine learning / deep learning model, data pipeline setup for model training, hyper-parameter tuning, validation and test. Apply ensemble model techniques (if required)

Comprehension of reports, visualization of data in the form of plots. Creating Heat Maps using Google Maps API  Mentoring juniors in data science

Technical Skills / Experience

 Must have minimum of 3 years of industry experience in developing data science models.

 Experience using machine learning algorithms (e.g. Generalized Linear Models, Boosting, Decision Trees, Neural Networks, SVM, Bayesian Methods, time series models, etc.)

 Hands-on experience in using machine learning models for regression and classification problems.

 Hands on experience in unsupervised machine learning algorithms. Working knowledge of clustering techniques such has, centroid based clustering.

 Working experience with Cloud Computing Platforms such as AWS / IBM  Strong programming skills in python is a must. Working experience with pandas, numpy, matplotlib, sklearn

 At least 3 years of industry experience in one or more full-time Data Science/ML roles

 Data Visualization techniques. Knowledge of visualization tools",3.9,Maruti Suzuki India Ltd,"Bangalore
18d",10000+ Employees,Company - Public,Transport Equipment Manufacturing,Manufacturing,$10+ billion (USD),-1
Data Scientist,₹8L - ₹10L (Glassdoor Est.),"Position Summary
Job Title— Data Scientist in Controllership Services—Deloitte Advisory
Deloitte & Touche’s Controllership market offering helps CFOs, CCOs, controllers, and business unit finance leaders reduce financial reporting risk resulting from changes in statutory reporting requirements, market volatility, and corporate actions or events; increase the financial integrity and transparency of cost allocations; enhance the efficiency of the “last mile of finance;” transform the finance function; and enhance the value that finance delivers to their business.
Work you will do",3.9,Deloitte,Bangalore,10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
Data Scientist,₹25L (Employer Est.),"Multiple development and support Data Science Projects
Multi Domain Data Scientist with 6months of Core Data Science experience, mostly in Machine Learning (Regression, Classification and time series models).
Person must be very strong on various type of ML models (How to select right model, expertise on various stages of model development and ability to put model in production
Desirable: Exp in Deep learning (NLP, NER, Computer Vision techniques).
Machine learning
Deep learning
R, Python
Job Types: Full-time, Regular / Permanent",4.0,Evoke Technologies,Hyderābād,501 to 1000 Employees,2003,Company - Private,IT Service,Information Technology,$25 to $50 million (USD)
Data Scientist I,-1,"Department
Analytics and Business Intelligence
Job posted on
Dec 21, 2021
Employment type
Permanent
Experience range
0 - N.A.
Data Scientist – Analytics and Business Intelligence

Objective of our team is to drive sustainable data-driven decision making across the organization. This involves understanding business problems and opportunities, digging into data to validate hypotheses, building Data Science models, and putting in place reports and processes to enable sustainable use of data in decision-making.",3.7,Delhivery,"Bangalore
9d",10000+ Employees,2011,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable
Data Scientist - QuantumBlack,₹4L - ₹9L (Glassdoor Est.),"Who You'll Work With
As a data scientist at QuantumBlack, you will work with other data scientists, data engineers, machine learning engineers, designers and project managers on interdisciplinary projects using mathematics, statistics and machine learning to derive structure and knowledge from raw data across various industry sectors.
In this role, you’ll be aligned to one of our practices, Pharma & Medical Products (PMP) or Global Energy & Materials (GEM), to work on similar industry clients.
Our Pharma & Medical Products practice focuses on helping clients bring life-saving medicines and medical treatments to patients. You will work with the advanced analytics team across research & development (R&D), operations and commercial to build and scale digital and analytical approaches. This practice is one of the fastest growing practices and is comprised of a tight-knit community of consultants, research, solution, data and practice operations colleagues across the firm. PMP is also one of the most globally connected sector practices, offering ample global exposure.",4.4,McKinsey & Company,Gurgaon,10000+ Employees,1926,Company - Private,Consulting,Business Service,Unknown / Non-Applicable
Data Scientist,-1,"Position Title: Data Scientist
Department: Transformation Team


Job Purpose

To support the data driven decision making for DBS products, processes, and business through the creation of data dashboards, infographics, models per business requirement.",3.9,DBS Bank,"Maharashtra
10d",10000+ Employees,1968,Company - Public,Banks & Building Society,Finance,$5 to $10 billion (USD)
